@relation creditos

@attribute nivelRenta {alto,medio,bajo}
@attribute patrimonio {alto,medio,bajo}
@attribute tamanoCredito REAL
@attribute edadPeticionario REAL
@attribute numeroHijos REAL
@attribute funcionario {si,no}
@attribute nivelEstudios {ninguno,licenciatura,posgrado}
@attribute autorizo {si,no}

@data
medio,bajo,8000,46,0,si,ninguno,si
medio,bajo,41000,25,0,no,ninguno,no
medio,alto,56000,60,0,si,posgrado,si
alto,medio,58000,53,0,si,posgrado,si
alto,alto,96000,26,0,no,posgrado,si
bajo,bajo,22000,21,4,no,ninguno,no
medio,medio,73000,45,1,si,licenciatura,no
alto,alto,68000,39,2,no,posgrado,si
alto,alto,100000,57,1,no,posgrado,no
alto,medio,59000,44,1,si,licenciatura,si
medio,medio,74000,28,0,no,ninguno,si
bajo,bajo,7000,58,6,si,licenciatura,no
bajo,bajo,35000,31,4,si,licenciatura,si
medio,bajo,31000,28,2,no,ninguno,si
medio,bajo,6000,34,1,no,posgrado,no
medio,medio,46000,44,0,si,posgrado,si
medio,medio,32000,30,2,si,ninguno,si
bajo,bajo,2000,42,5,si,ninguno,no
bajo,bajo,25000,24,4,no,ninguno,no
bajo,bajo,49000,37,5,si,licenciatura,no
alto,alto,99000,28,0,si,posgrado,si
bajo,bajo,2000,20,5,si,licenciatura,no
bajo,bajo,49000,33,6,si,licenciatura,si
alto,alto,52000,47,2,si,posgrado,si
medio,bajo,45000,58,1,si,ninguno,si
bajo,bajo,3000,39,4,si,posgrado,si
medio,medio,72000,55,2,si,licenciatura,si
medio,medio,78000,28,2,si,ninguno,si
medio,medio,31000,49,1,si,licenciatura,si
alto,medio,36000,23,0,si,licenciatura,si
bajo,bajo,6000,20,6,si,licenciatura,no
bajo,medio,40000,21,0,si,posgrado,no
bajo,bajo,23000,49,4,no,ninguno,si
bajo,medio,49000,20,0,no,posgrado,si
medio,medio,53000,53,2,no,licenciatura,no
medio,medio,52000,29,1,si,licenciatura,si
medio,medio,38000,33,1,si,ninguno,no
alto,medio,45000,56,2,si,licenciatura,si
alto,medio,69000,45,1,si,posgrado,no
medio,medio,79000,59,2,no,licenciatura,si
medio,medio,75000,44,0,si,licenciatura,si
medio,medio,56000,45,1,si,ninguno,no
medio,bajo,14000,37,1,si,posgrado,no
bajo,bajo,30000,40,6,no,ninguno,no
medio,medio,33000,34,1,si,licenciatura,si
bajo,bajo,38000,33,5,no,ninguno,no
bajo,medio,32000,44,1,si,licenciatura,no
medio,medio,32000,45,2,si,licenciatura,si
bajo,bajo,34000,48,5,si,ninguno,no
medio,medio,60000,51,0,si,ninguno,si
alto,medio,79000,42,1,no,ninguno,no
alto,alto,55000,56,2,si,licenciatura,si
alto,alto,93000,60,1,no,licenciatura,no
medio,medio,55000,32,2,si,licenciatura,no
medio,alto,68000,48,0,si,posgrado,si
medio,medio,54000,23,2,no,posgrado,no
alto,alto,57000,40,1,no,posgrado,si
bajo,bajo,44000,24,6,si,licenciatura,no
medio,medio,72000,58,1,si,licenciatura,si
bajo,bajo,3000,47,5,si,licenciatura,no
alto,alto,99000,21,2,si,posgrado,si
alto,alto,80000,23,2,si,posgrado,si
bajo,bajo,41000,43,6,si,ninguno,si
medio,medio,39000,29,0,si,licenciatura,no
medio,medio,40000,28,2,si,posgrado,si
alto,alto,88000,54,0,si,licenciatura,no
medio,medio,48000,41,0,si,licenciatura,no
medio,medio,36000,36,0,no,licenciatura,si
medio,medio,43000,26,0,si,licenciatura,si
alto,alto,60000,32,1,si,posgrado,no
medio,medio,58000,28,0,si,ninguno,si
alto,alto,53000,33,2,si,posgrado,si
medio,medio,49000,26,0,si,licenciatura,si
alto,alto,98000,58,0,si,posgrado,si
alto,alto,75000,55,1,si,posgrado,si
medio,medio,55000,49,1,no,licenciatura,no
alto,alto,90000,44,2,si,licenciatura,si
bajo,bajo,15000,37,6,si,licenciatura,si
bajo,bajo,50000,48,6,si,licenciatura,no
bajo,bajo,6000,26,6,si,licenciatura,no
alto,alto,83000,54,2,si,licenciatura,si
bajo,bajo,9000,43,6,si,licenciatura,si
bajo,bajo,10000,30,5,si,ninguno,no
medio,alto,82000,58,1,si,posgrado,si
medio,bajo,19000,42,0,si,licenciatura,no
alto,alto,54000,39,1,si,posgrado,no
medio,medio,34000,34,2,no,posgrado,no
bajo,bajo,45000,53,4,no,licenciatura,no
bajo,bajo,37000,25,4,no,ninguno,no
bajo,bajo,12000,28,5,no,ninguno,no
alto,alto,62000,33,0,no,licenciatura,si
alto,alto,99000,25,0,no,posgrado,si
medio,medio,64000,36,2,si,licenciatura,si
medio,medio,31000,23,1,si,licenciatura,si
medio,alto,98000,55,0,si,posgrado,si
medio,medio,39000,43,2,no,licenciatura,si
alto,alto,51000,34,2,si,posgrado,si
alto,alto,64000,30,1,si,licenciatura,no
alto,alto,96000,47,0,si,posgrado,si
alto,medio,73000,41,1,si,licenciatura,no
medio,alto,97000,52,2,si,posgrado,si
bajo,bajo,9000,53,6,si,licenciatura,si
medio,medio,47000,40,2,si,licenciatura,si
alto,alto,72000,55,1,si,posgrado,si
alto,alto,80000,48,0,si,posgrado,si
bajo,bajo,2000,52,6,si,licenciatura,no
medio,bajo,39000,55,2,no,licenciatura,no
medio,medio,42000,48,0,si,licenciatura,si
bajo,medio,35000,59,0,si,licenciatura,no
alto,alto,74000,56,2,si,posgrado,si
medio,alto,80000,45,2,si,posgrado,si
alto,alto,90000,54,0,si,licenciatura,si
medio,bajo,28000,27,0,si,ninguno,si
alto,alto,63000,42,0,no,licenciatura,no
bajo,bajo,14000,38,6,si,licenciatura,no
bajo,bajo,4000,58,6,no,ninguno,no
medio,bajo,3000,38,2,si,licenciatura,no
alto,medio,40000,47,1,si,posgrado,si
alto,alto,96000,22,2,no,licenciatura,no
bajo,bajo,11000,57,4,si,licenciatura,no
alto,medio,56000,27,1,si,licenciatura,si
medio,medio,46000,20,2,si,ninguno,no
alto,medio,60000,25,0,si,licenciatura,si
medio,alto,60000,25,0,si,licenciatura,si
bajo,bajo,19000,59,4,si,licenciatura,no
bajo,bajo,37000,38,4,si,ninguno,no
medio,medio,49000,43,1,si,licenciatura,si
medio,medio,60000,21,2,si,licenciatura,si
medio,medio,79000,59,2,si,ninguno,si
medio,bajo,29000,49,1,si,licenciatura,si
alto,alto,65000,23,1,no,ninguno,si
alto,alto,78000,39,2,si,posgrado,si
bajo,bajo,14000,23,4,si,licenciatura,si
medio,bajo,5000,21,2,si,licenciatura,no
alto,alto,76000,33,2,no,posgrado,si
alto,alto,60000,34,1,si,licenciatura,si
medio,medio,46000,57,1,si,ninguno,si
alto,alto,74000,20,2,si,ninguno,si
bajo,bajo,50000,32,4,no,ninguno,no
alto,alto,56000,44,2,si,posgrado,si
medio,alto,92000,45,0,si,licenciatura,no
alto,medio,78000,60,0,si,licenciatura,si
medio,alto,59000,25,0,si,posgrado,si
medio,medio,46000,59,2,no,licenciatura,si
alto,alto,75000,26,1,si,licenciatura,si
medio,alto,76000,56,2,si,licenciatura,si
bajo,bajo,51000,22,4,si,ninguno,no
alto,medio,46000,48,0,si,posgrado,no
medio,alto,68000,26,1,si,licenciatura,si
medio,medio,37000,34,1,no,licenciatura,si
medio,medio,60000,41,2,no,ninguno,no
alto,alto,72000,28,2,si,licenciatura,si
bajo,bajo,40000,20,6,si,licenciatura,no
medio,medio,71000,41,0,si,licenciatura,si
bajo,bajo,32000,49,5,si,ninguno,no
medio,medio,59000,32,0,no,posgrado,no
bajo,medio,80000,56,0,si,licenciatura,no
medio,alto,74000,20,2,no,licenciatura,si
bajo,bajo,50000,36,6,si,licenciatura,no
bajo,medio,35000,27,0,si,licenciatura,no
bajo,bajo,38000,52,6,si,ninguno,no
medio,bajo,21000,38,2,si,posgrado,si
medio,alto,51000,26,0,si,posgrado,si
alto,alto,60000,20,1,si,posgrado,si
medio,medio,47000,60,1,si,licenciatura,si
alto,alto,70000,29,2,si,posgrado,si
alto,alto,68000,30,0,si,posgrado,si
bajo,bajo,12000,49,4,si,ninguno,si
bajo,bajo,24000,27,5,si,licenciatura,no
alto,alto,70000,57,0,si,posgrado,si
medio,alto,86000,47,0,si,licenciatura,no
alto,alto,55000,24,0,si,licenciatura,si
medio,medio,38000,37,0,no,ninguno,si
bajo,medio,68000,23,0,si,licenciatura,si
medio,medio,66000,26,2,si,ninguno,si
bajo,medio,76000,29,1,si,licenciatura,si
alto,alto,84000,22,1,no,posgrado,si
bajo,bajo,30000,31,4,si,ninguno,no
bajo,bajo,40000,22,6,si,licenciatura,no
medio,medio,30000,60,0,no,licenciatura,si
bajo,bajo,48000,58,5,si,ninguno,no
medio,medio,47000,55,0,si,posgrado,si
bajo,bajo,21000,41,5,si,licenciatura,no
alto,alto,92000,37,2,si,posgrado,si
alto,alto,93000,31,1,no,licenciatura,si
bajo,bajo,7000,34,6,no,ninguno,no
medio,medio,33000,40,1,si,ninguno,si
medio,medio,68000,33,1,si,licenciatura,si
bajo,bajo,51000,46,5,si,licenciatura,no
alto,alto,77000,20,1,si,posgrado,si
bajo,bajo,28000,57,5,no,ninguno,si
medio,medio,63000,32,0,si,ninguno,si
medio,alto,93000,41,1,si,licenciatura,si
bajo,bajo,22000,24,6,si,ninguno,no
bajo,medio,56000,58,1,si,posgrado,si
bajo,bajo,13000,50,4,si,licenciatura,no
bajo,bajo,4000,35,4,no,ninguno,si
bajo,bajo,44000,21,5,si,licenciatura,si
bajo,bajo,51000,36,4,no,ninguno,no
bajo,bajo,20000,43,5,si,ninguno,no
alto,alto,88000,58,1,si,posgrado,si
alto,alto,62000,20,2,no,posgrado,si
alto,medio,76000,36,2,no,ninguno,si
alto,alto,78000,32,2,si,posgrado,si
bajo,bajo,50000,30,4,si,ninguno,no
medio,medio,76000,40,2,si,licenciatura,si
alto,alto,61000,48,2,si,posgrado,si
bajo,bajo,16000,47,4,si,ninguno,no
medio,alto,73000,44,1,si,licenciatura,no
bajo,bajo,13000,45,6,si,ninguno,no
alto,alto,83000,54,1,no,posgrado,no
bajo,bajo,16000,48,6,si,licenciatura,si
bajo,medio,43000,36,0,si,ninguno,no
bajo,bajo,7000,48,5,si,posgrado,no
bajo,bajo,39000,36,5,no,licenciatura,no
bajo,bajo,2000,47,4,si,ninguno,si
bajo,bajo,23000,47,4,si,ninguno,si
alto,alto,94000,49,2,si,licenciatura,si
medio,bajo,7000,47,0,si,licenciatura,si
alto,alto,95000,49,0,si,posgrado,si
medio,medio,42000,30,1,si,licenciatura,no
alto,medio,38000,52,0,no,licenciatura,no
medio,medio,40000,29,2,si,ninguno,si
alto,alto,66000,58,1,no,licenciatura,si
alto,alto,50000,23,1,si,posgrado,si
alto,medio,64000,58,0,si,licenciatura,no
bajo,bajo,32000,54,4,no,licenciatura,no
bajo,bajo,46000,40,6,si,licenciatura,no
alto,medio,71000,50,0,si,posgrado,no
medio,medio,66000,20,2,si,licenciatura,si
medio,medio,36000,42,1,si,ninguno,si
bajo,bajo,9000,43,5,si,ninguno,si
bajo,bajo,50000,59,5,si,licenciatura,si
medio,medio,31000,23,2,si,posgrado,no
alto,alto,69000,23,0,si,posgrado,no
alto,alto,75000,28,0,si,posgrado,si
bajo,bajo,43000,55,5,si,ninguno,no
alto,alto,69000,44,1,no,posgrado,si
medio,bajo,34000,31,1,si,ninguno,no
bajo,bajo,29000,48,6,no,ninguno,no
bajo,bajo,12000,56,6,si,licenciatura,no
medio,medio,64000,29,2,si,licenciatura,si
alto,medio,44000,34,0,si,licenciatura,si
medio,medio,33000,48,2,no,ninguno,si
medio,bajo,11000,48,1,si,ninguno,si
alto,medio,36000,59,1,no,licenciatura,no
bajo,bajo,37000,31,6,si,ninguno,si
alto,alto,57000,53,2,no,posgrado,si
medio,medio,46000,40,2,si,licenciatura,si
alto,medio,78000,43,2,si,posgrado,si
medio,medio,42000,52,0,si,licenciatura,si
alto,alto,60000,49,0,no,posgrado,si
medio,bajo,39000,59,0,si,ninguno,si
bajo,bajo,37000,28,6,si,licenciatura,no
bajo,bajo,11000,54,4,si,licenciatura,no
medio,medio,59000,37,1,no,licenciatura,si
bajo,bajo,39000,45,4,si,licenciatura,no
alto,alto,60000,33,1,si,posgrado,si
alto,medio,33000,35,0,si,licenciatura,si
bajo,bajo,32000,53,6,si,ninguno,no
alto,alto,72000,55,2,si,licenciatura,si
alto,alto,53000,24,0,no,licenciatura,si
medio,medio,54000,57,2,no,posgrado,si
medio,medio,54000,57,0,si,licenciatura,si
bajo,medio,80000,43,0,si,licenciatura,no
alto,alto,94000,57,0,no,licenciatura,no
bajo,medio,42000,24,0,si,licenciatura,si
bajo,bajo,31000,54,6,si,ninguno,si
medio,medio,39000,41,2,si,licenciatura,si
bajo,bajo,33000,29,6,no,ninguno,no
bajo,medio,59000,51,1,si,licenciatura,si
alto,alto,96000,35,0,si,posgrado,no
bajo,bajo,43000,57,4,si,licenciatura,no
medio,bajo,46000,42,0,si,licenciatura,si
bajo,medio,49000,57,2,no,licenciatura,si
bajo,bajo,4000,31,6,si,licenciatura,no
medio,medio,40000,32,1,si,ninguno,si
medio,medio,65000,20,0,no,licenciatura,si
alto,alto,59000,60,1,si,licenciatura,si
bajo,bajo,19000,43,4,si,licenciatura,no
alto,alto,54000,58,0,si,posgrado,si
bajo,medio,80000,53,1,si,posgrado,si
bajo,medio,69000,43,1,si,licenciatura,si
alto,alto,89000,35,1,si,posgrado,si
medio,medio,44000,39,0,si,licenciatura,si
medio,alto,52000,54,0,si,posgrado,no
bajo,bajo,34000,36,6,si,ninguno,si
medio,medio,54000,53,0,si,licenciatura,no
bajo,bajo,50000,54,6,si,ninguno,no
bajo,medio,65000,45,1,si,posgrado,no
medio,medio,67000,39,0,si,ninguno,si
bajo,bajo,11000,20,6,si,ninguno,no
medio,bajo,9000,57,2,no,ninguno,no
alto,alto,51000,24,2,si,licenciatura,si
alto,alto,71000,46,1,no,posgrado,si
alto,alto,52000,54,2,si,posgrado,si
bajo,bajo,5000,34,6,si,ninguno,no
medio,medio,68000,45,2,no,ninguno,no
alto,alto,60000,43,1,si,posgrado,si
medio,alto,85000,23,2,no,ninguno,si
medio,alto,61000,29,2,no,licenciatura,si
alto,alto,76000,44,2,si,posgrado,si
bajo,medio,51000,50,1,si,licenciatura,si
medio,medio,35000,34,1,si,licenciatura,si
alto,alto,93000,50,1,si,licenciatura,si
alto,alto,57000,48,1,si,posgrado,si
alto,alto,66000,58,1,si,posgrado,si
bajo,bajo,44000,36,5,si,licenciatura,si
medio,medio,43000,31,0,si,posgrado,no
bajo,medio,48000,30,1,no,ninguno,si
alto,alto,57000,38,0,no,licenciatura,si
alto,medio,64000,35,2,si,ninguno,si
bajo,bajo,22000,23,4,no,licenciatura,no
medio,medio,46000,30,0,no,posgrado,no
medio,medio,55000,47,1,si,licenciatura,si
alto,alto,90000,60,0,si,licenciatura,si
alto,medio,33000,24,2,si,licenciatura,no
alto,alto,90000,55,1,si,posgrado,si
bajo,bajo,13000,35,6,si,ninguno,si
medio,medio,33000,56,1,si,licenciatura,no
bajo,bajo,12000,56,5,no,ninguno,si
medio,bajo,33000,25,0,no,ninguno,si
alto,alto,91000,51,1,si,posgrado,si
medio,alto,58000,50,1,si,posgrado,si
alto,alto,83000,34,0,no,posgrado,si
medio,medio,56000,31,0,si,ninguno,si
bajo,bajo,2000,43,4,no,licenciatura,no
alto,medio,34000,28,0,si,ninguno,si
bajo,bajo,40000,42,6,si,posgrado,no
bajo,bajo,16000,43,5,no,ninguno,no
medio,bajo,14000,29,1,si,ninguno,no
bajo,bajo,20000,58,4,si,licenciatura,no
medio,medio,40000,53,0,si,licenciatura,si
alto,medio,75000,45,1,si,licenciatura,si
medio,bajo,38000,40,2,si,licenciatura,si
medio,alto,65000,44,2,si,licenciatura,no
bajo,bajo,20000,46,5,si,ninguno,no
alto,alto,92000,56,1,si,licenciatura,si
medio,medio,34000,36,2,si,posgrado,no
medio,alto,95000,56,1,si,posgrado,si
alto,alto,100000,35,0,no,posgrado,no
medio,medio,71000,57,2,si,posgrado,si
medio,medio,43000,27,2,si,posgrado,no
alto,alto,59000,28,1,si,posgrado,si
alto,alto,91000,44,2,si,posgrado,si
bajo,bajo,40000,24,4,si,ninguno,si
bajo,bajo,11000,42,5,no,licenciatura,no
alto,alto,64000,20,1,si,licenciatura,si
alto,alto,72000,55,2,no,licenciatura,si
alto,medio,75000,37,2,si,licenciatura,si
bajo,bajo,38000,56,5,si,ninguno,no
bajo,bajo,46000,57,4,no,ninguno,si
bajo,medio,44000,41,2,si,ninguno,si
bajo,medio,52000,56,2,si,licenciatura,no
bajo,bajo,42000,38,4,no,ninguno,no
bajo,bajo,13000,45,5,no,ninguno,si
bajo,bajo,15000,28,4,si,ninguno,no
medio,medio,34000,29,1,si,licenciatura,si
medio,bajo,36000,52,1,no,ninguno,si
bajo,bajo,35000,56,4,no,ninguno,no
medio,medio,49000,33,2,no,ninguno,si
medio,medio,70000,45,1,no,licenciatura,si
alto,alto,82000,41,1,si,licenciatura,si
bajo,bajo,13000,53,4,si,ninguno,no
medio,bajo,13000,31,2,no,ninguno,si
medio,alto,72000,32,1,si,posgrado,si
alto,alto,94000,30,1,si,posgrado,si
medio,medio,48000,41,2,si,licenciatura,si
medio,medio,37000,34,2,si,ninguno,no
alto,medio,34000,53,1,no,licenciatura,si
bajo,bajo,17000,26,5,si,ninguno,no
alto,alto,83000,55,2,si,posgrado,no
alto,alto,50000,35,2,si,posgrado,si
medio,bajo,26000,53,1,no,ninguno,si
bajo,bajo,13000,44,4,no,ninguno,si
bajo,bajo,42000,34,5,si,ninguno,no
medio,bajo,12000,28,0,si,ninguno,no
bajo,bajo,32000,33,6,si,ninguno,no
medio,medio,58000,27,0,no,licenciatura,no
alto,alto,85000,25,2,si,posgrado,si
alto,alto,81000,27,0,si,posgrado,si
medio,medio,66000,57,2,si,licenciatura,no
bajo,bajo,37000,41,5,no,licenciatura,no
alto,alto,84000,56,0,no,posgrado,no
alto,alto,85000,24,1,no,licenciatura,si
alto,medio,39000,23,0,si,licenciatura,si
bajo,bajo,6000,37,5,si,ninguno,no
bajo,bajo,32000,41,6,si,ninguno,si
bajo,bajo,9000,29,6,si,licenciatura,no
alto,medio,63000,43,0,si,licenciatura,si
bajo,bajo,28000,24,5,si,ninguno,si
bajo,bajo,11000,28,4,no,licenciatura,no
bajo,bajo,6000,53,6,no,ninguno,no
bajo,bajo,25000,37,4,si,licenciatura,no
bajo,bajo,9000,40,6,si,ninguno,si
bajo,bajo,30000,23,6,no,licenciatura,no
alto,alto,97000,44,1,si,posgrado,si
alto,alto,59000,46,2,no,licenciatura,no
alto,alto,81000,20,2,si,licenciatura,si
alto,alto,68000,41,2,si,licenciatura,si
bajo,bajo,33000,28,5,no,ninguno,no
alto,alto,72000,40,0,si,licenciatura,si
alto,medio,76000,54,2,si,posgrado,si
bajo,bajo,31000,27,6,si,ninguno,no
medio,medio,30000,39,1,no,ninguno,si
alto,alto,82000,50,0,si,licenciatura,si
medio,medio,35000,35,1,no,licenciatura,si
medio,medio,75000,46,2,si,posgrado,no
alto,alto,68000,59,1,si,posgrado,si
alto,alto,62000,57,2,si,posgrado,si
alto,medio,46000,27,2,si,licenciatura,si
alto,alto,80000,33,2,no,posgrado,si
medio,medio,76000,51,1,no,posgrado,no
medio,medio,71000,52,0,si,licenciatura,si
alto,alto,71000,50,2,si,licenciatura,si
medio,alto,74000,54,2,si,posgrado,si
bajo,bajo,18000,48,4,si,licenciatura,si
alto,medio,40000,30,0,si,licenciatura,no
medio,medio,62000,29,1,si,posgrado,si
bajo,bajo,21000,55,6,si,ninguno,no
medio,bajo,9000,28,1,no,ninguno,si
alto,alto,58000,27,1,si,posgrado,si
alto,alto,87000,30,0,si,licenciatura,si
alto,alto,56000,56,0,si,licenciatura,si
bajo,bajo,18000,46,5,si,licenciatura,no
alto,medio,41000,50,2,si,licenciatura,si
alto,alto,60000,53,2,si,licenciatura,si
alto,medio,56000,33,0,no,ninguno,no
bajo,bajo,22000,32,4,si,licenciatura,no
medio,medio,52000,28,1,si,posgrado,si
bajo,bajo,24000,34,5,si,licenciatura,no
bajo,bajo,10000,43,4,no,ninguno,no
bajo,bajo,6000,23,4,no,ninguno,no
alto,medio,44000,33,0,si,posgrado,si
medio,medio,50000,54,0,si,licenciatura,no
medio,medio,37000,60,0,no,licenciatura,no
medio,medio,33000,20,0,si,posgrado,si
medio,medio,57000,42,1,si,licenciatura,no
medio,alto,78000,42,2,no,posgrado,si
alto,medio,52000,20,0,si,licenciatura,no
alto,medio,76000,57,0,si,posgrado,si
alto,alto,79000,40,2,no,licenciatura,no
bajo,bajo,10000,47,6,si,licenciatura,no
medio,medio,69000,21,2,si,licenciatura,no
medio,medio,32000,28,0,no,ninguno,no
alto,medio,61000,34,0,si,ninguno,si
alto,alto,87000,25,1,si,licenciatura,si
bajo,medio,69000,47,1,no,licenciatura,si
medio,alto,54000,58,0,si,posgrado,si
bajo,bajo,49000,55,5,si,ninguno,no
alto,alto,63000,20,0,si,posgrado,si
alto,medio,46000,23,2,si,licenciatura,si
bajo,bajo,11000,36,5,no,ninguno,no
bajo,bajo,37000,23,5,si,ninguno,no
bajo,bajo,19000,28,4,si,licenciatura,no
bajo,bajo,46000,59,5,si,ninguno,no
medio,bajo,50000,34,0,no,ninguno,no
medio,medio,62000,53,1,si,licenciatura,si
medio,medio,77000,20,1,si,licenciatura,si
alto,alto,61000,35,2,si,posgrado,no
bajo,bajo,40000,39,4,si,ninguno,no
bajo,bajo,36000,39,4,si,ninguno,no
medio,medio,62000,42,0,si,licenciatura,no
bajo,bajo,10000,29,4,si,ninguno,no
bajo,bajo,33000,20,5,no,ninguno,si
alto,alto,89000,46,1,si,posgrado,si
medio,alto,87000,58,2,no,ninguno,no
alto,alto,69000,51,0,si,posgrado,si
medio,medio,31000,44,2,si,licenciatura,no
bajo,bajo,8000,60,6,si,licenciatura,no
medio,medio,47000,57,1,si,licenciatura,si
alto,alto,94000,47,1,si,licenciatura,si
medio,medio,65000,27,2,si,licenciatura,si
medio,alto,54000,54,1,no,posgrado,si
bajo,bajo,42000,22,5,no,ninguno,no
medio,medio,44000,51,1,si,licenciatura,no
bajo,medio,74000,25,1,no,licenciatura,no
bajo,bajo,30000,59,5,si,ninguno,no
bajo,bajo,31000,51,5,no,licenciatura,no
medio,medio,44000,58,2,no,ninguno,no
alto,alto,74000,30,2,si,posgrado,si
alto,alto,53000,54,0,si,posgrado,si
bajo,bajo,10000,33,6,si,licenciatura,no
alto,medio,75000,35,0,si,ninguno,no
medio,bajo,43000,28,1,no,ninguno,no
bajo,bajo,2000,51,4,no,licenciatura,no
bajo,bajo,1000,45,4,si,ninguno,no
medio,bajo,28000,55,2,si,ninguno,no
alto,alto,96000,44,2,no,posgrado,no
alto,alto,61000,54,0,no,posgrado,si
bajo,bajo,27000,39,5,no,ninguno,si
medio,medio,44000,60,2,si,ninguno,si
alto,alto,70000,54,0,si,posgrado,si
alto,alto,74000,60,1,si,licenciatura,si
medio,medio,44000,44,1,si,licenciatura,no
alto,alto,94000,51,1,si,posgrado,si
medio,bajo,18000,43,2,si,licenciatura,si
medio,alto,51000,36,2,si,posgrado,si
bajo,medio,39000,40,1,si,licenciatura,si
medio,medio,75000,47,1,si,licenciatura,si
bajo,bajo,42000,35,4,no,ninguno,no
bajo,bajo,19000,56,6,si,ninguno,no
alto,alto,86000,39,1,si,posgrado,si
alto,alto,97000,46,1,si,licenciatura,si
medio,alto,93000,51,1,si,posgrado,si
medio,medio,60000,39,2,si,licenciatura,si
medio,medio,68000,34,2,si,licenciatura,no
alto,alto,77000,35,1,si,posgrado,si
medio,bajo,44000,54,0,si,ninguno,si
medio,medio,32000,57,2,si,licenciatura,no
alto,alto,61000,22,1,si,posgrado,si
alto,alto,87000,33,1,si,posgrado,si
alto,medio,36000,35,2,si,posgrado,si
bajo,bajo,40000,49,6,no,ninguno,no
alto,alto,55000,28,1,si,licenciatura,si
medio,medio,36000,55,2,si,licenciatura,no
medio,medio,41000,45,0,no,licenciatura,si
medio,medio,73000,39,0,si,posgrado,si
alto,alto,73000,46,0,no,posgrado,si
alto,alto,68000,45,0,no,ninguno,si
medio,medio,60000,60,0,si,licenciatura,si
medio,medio,45000,43,2,si,ninguno,si
bajo,bajo,2000,42,5,si,ninguno,no
bajo,medio,64000,47,0,si,licenciatura,no
alto,alto,64000,33,2,si,posgrado,si
medio,medio,47000,52,1,si,posgrado,no
medio,medio,56000,54,0,no,licenciatura,no
alto,alto,67000,47,2,si,posgrado,si
medio,medio,51000,44,1,no,licenciatura,no
bajo,bajo,48000,31,6,no,ninguno,no
medio,alto,76000,21,2,no,licenciatura,si
alto,alto,89000,39,1,si,licenciatura,si
medio,medio,68000,40,2,si,licenciatura,si
bajo,bajo,46000,57,6,no,ninguno,no
bajo,bajo,21000,57,4,si,ninguno,si
bajo,bajo,23000,31,5,si,ninguno,no
medio,bajo,30000,21,1,si,licenciatura,si
alto,alto,89000,43,0,no,posgrado,no
bajo,bajo,8000,59,4,si,licenciatura,no
alto,alto,91000,57,1,si,posgrado,si
bajo,bajo,10000,26,6,si,licenciatura,si
alto,alto,52000,30,2,si,posgrado,si
medio,alto,67000,40,0,si,posgrado,si
alto,alto,83000,48,1,si,licenciatura,si
bajo,bajo,43000,51,6,no,ninguno,no
alto,alto,52000,24,2,si,posgrado,no
medio,bajo,23000,52,0,no,ninguno,no
alto,alto,89000,35,2,si,licenciatura,si
alto,medio,80000,27,1,si,posgrado,si
alto,alto,96000,46,2,si,licenciatura,si
bajo,bajo,8000,59,6,si,licenciatura,no
bajo,bajo,3000,41,6,si,licenciatura,no
bajo,bajo,46000,44,6,no,licenciatura,no
medio,medio,67000,53,1,si,posgrado,si
alto,medio,50000,58,2,si,licenciatura,si
alto,medio,64000,23,1,si,ninguno,no
medio,medio,58000,30,2,no,licenciatura,no
alto,alto,57000,26,0,no,posgrado,si
bajo,bajo,28000,28,5,si,licenciatura,no
alto,alto,80000,37,2,si,posgrado,si
medio,alto,61000,51,2,si,licenciatura,no
alto,alto,77000,24,1,si,posgrado,si
alto,alto,99000,54,2,si,posgrado,si
medio,medio,71000,34,1,si,licenciatura,si
medio,medio,45000,27,0,si,licenciatura,si
medio,alto,72000,44,2,si,posgrado,si
alto,alto,78000,33,2,no,posgrado,si
bajo,bajo,27000,40,6,si,licenciatura,no
bajo,bajo,18000,38,5,no,licenciatura,no
medio,medio,48000,35,1,si,posgrado,si
bajo,bajo,39000,23,5,no,licenciatura,no
alto,alto,60000,29,2,si,licenciatura,si
medio,bajo,22000,38,1,si,posgrado,si
medio,medio,54000,24,2,no,ninguno,si
bajo,bajo,50000,45,5,si,licenciatura,no
bajo,bajo,36000,27,6,no,ninguno,no
medio,bajo,36000,28,1,si,ninguno,si
alto,medio,54000,20,1,si,licenciatura,si
bajo,bajo,10000,60,4,si,licenciatura,no
bajo,bajo,27000,27,4,si,ninguno,no
alto,medio,46000,42,0,si,licenciatura,si
bajo,bajo,30000,40,6,si,licenciatura,no
medio,bajo,9000,54,0,si,ninguno,si
medio,alto,62000,50,1,no,licenciatura,si
bajo,bajo,39000,31,6,si,ninguno,no
medio,alto,73000,30,1,si,posgrado,si
bajo,bajo,34000,56,6,no,ninguno,no
alto,alto,59000,59,0,si,posgrado,si
medio,alto,84000,23,2,si,posgrado,si
bajo,bajo,29000,35,6,no,licenciatura,no
medio,medio,35000,29,1,si,posgrado,si
alto,alto,50000,28,1,si,posgrado,si
bajo,bajo,33000,57,4,si,licenciatura,no
medio,bajo,32000,49,1,si,ninguno,no
bajo,bajo,25000,21,4,si,licenciatura,no
medio,bajo,14000,57,0,no,licenciatura,si
bajo,bajo,42000,47,5,no,ninguno,no
medio,medio,47000,57,0,no,ninguno,si
